char,kDefinition
肥,"fat, plump, obese; fertile"
收,"gather together, collect; harvest"
股,"thighs, haunches, rump; share"
禹,legendary hsia dynasty founder
廷,court
羡,"envy, admire; praise; covet"
並,"equal to; side by side; also, what is more; both"
即,"promptly, quickly, immediately"
近,"near, close; approach; intimate"
紆,"bend, turn, twist; distort"
戰,"war, fighting, battle"
糁,a grain of rice; rice gruel mixed with meat
粹,pure; unadulterated; select
扇,fan; door panel
仰,"raise the head to look; look up to, rely on, admire"
捶,"strike with stick, lash, beat"
陶,"pottery, ceramics"
篇,"chapter, section, essay, article"
箋,"note, memo; stationery; comments"
随,"follow, listen to, submit to"
率,to lead; ratio; rate; limit
抓,"scratch; clutch, seize, grab"
隔,"separate, partition"
偉,"great, robust; extraordinary"
笑,"smile, laugh, giggle; snicker"
竜,dragon; symbolic of emperor
值,price
愛,"love, be fond of, like"
恨,"hatred, dislike; resent, hate"
閹,castrate; eunuch
稔,"ripe grain; harvest; to know, be familiar with"
悮,"impede; neglect, delay"
罨,medical compress; fish net
悶,"gloomy, depressed, melancholy"
沿,"follow a course, go along"
致,"send, deliver, present; cause"
罗,net for catching birds; gauze
厉,"whetstone; grind, sharpen; whet"
犯,"commit crime, violate; criminal"
稜,"corner, edge, angle; square block"
探,"find, locate; search, grope for"
经,classic works; pass through
授,"give to, transmit; confer"
㸃,"(same as 點) a dot; a spot; a speck, a point, a little; a mite, to count; to check on by one, to punctuate"
涕,"tear; snivel, nasal mucus"
喝,"drink; shout, call out"
妄,"absurd, foolish, reckless; false"
言,"words, speech; speak, say; Kangxi radical 149"
妾,concubine
始,"begin, start; then, only then"
啟,open; begin
㐲,name of an island
娩,give birth child; complaisant
婢,servant girl; your servant
唼,speaking evil; gobbling sound made by ducks
唵,used in Buddhist texts to transliterate non-Chinese sounds; to eat with the hand
嫂,"sister-in-law, elder brother's wife"
存,"exist, live, be; survive; remain"
衲,"mend, sew, patch; line; quilt"
焉,"thereupon, then; how? why? where?"
舜,"legendary ruler, last of the Five Emperors"
囚,"prisoner, convict; confine"
炉,"fireplace, stove, oven, furnace"
辱,"humiliate, insult, abuse"
圓,"circle; round, circular; complete"
圖,"diagram; chart, map, picture"
坤,"earth; feminine, female; trigram ☷; hexagram ䷁"
躬,"body; personally, in person"
報,"report, tell, announce"
云,"say, speak; clouds"
赤,red; bare; Kangxi radical 155
貧,"poor, impoverished, needy"
財,"wealth, valuables, riches"
些,"little, few; rather, somewhat"
烛,"candle, taper; shine, illuminate"
五,five; surname
记,"record; keep in mind, remember"
變,"change, transform, alter; rebel"
逢,"come upon, happen meet; flatter"
護,"protect, guard, defend, shelter"
𡉄,rascal
煇,"weld, solder"
宗,"lineage, ancestry; ancestor, clan"
岫,"mountain peak; cave, cavern"
落,"fall, drop; net income, surplus"
燭,"candle, taper; to shine, illuminate"
菱,"water-chestnut, water caltrop"
屛,folding screen
侘,"disappointed, forlorn"
履,"footwear, shoes; walk on, tread; hexagram ䷉"
仔,"small thing, child; young animal"
荅,answer: small bean; thick
爭,"to dispute, fight, contend, strive"
煙,"smoke, soot; opium; tobacco, cigarettes"
鄂,Hubei province; startled
鄒,a Zhou-dynasty state in modern Shandong
淆,"confused, in disarray, mixed up"
酉,a wine vessel; tenth earthly branch; Kangxi radical 164
已,already; finished; stop
体,"body; group, class, body, unit; inferior"
帝,"supreme ruler, emperor; god"
師,"teacher, master, specialist; multitude, troops; hexagram ䷆"
吕,surname; a musical note
那,"that, that one, those"
葬,"bury, inter"
游,"to swim; float, drift; wander, roam"
密,"dense, thick, close; intimate"
遡,go upstream; trace source; formerly
蠎,"python, boa constrictor"
融,"melt, fuse; blend, harmonize"
済,"help, aid, relieve; ferry, cross"
將,"will, going to, future; general"
命,"life; destiny, fate, luck; an order, instruction"
藥,"drugs, pharmaceuticals, medicine"
還,"still, yet, also, besides"
呼,"breathe sigh, exhale; call, shout"
蕤,"drooping leaves; fringe soft, delicate"
呻,"groan, moan; recite with intonation"
政,"government, political affairs"
㷔,(same as non-classical form of 焰) flame; blaze; glowing; brilliant
傳,"summon; propagate, transmit"
桓,variety of tree; surname
时,"time, season; era, age, period"
兮,exclamatory particle
桀,chicken roost; ancient emperor
碍,"obstruct, hinder, block, deter"
瑰,"extraordinary, fabulous; rose"
共,"together with, all, total; to share"
鳩,"pigeon, dove; collect, assemble"
殊,"different, special, unusual"
既,already; de facto; since; then
明,"bright, light, brilliant; clear"
瑜,flawless gem or jewel
棲,perch; roost; stay
森,forest; luxuriant vegetation
断,"sever, cut off; interrupt"
順,"obey, submit to, go along with"
伺,"serve, wait upon, attend; examine"
示,"show, manifest; demonstrate; Kangxi radical 113"
初,"beginning, initial, primary"
棄,"reject, abandon, discard"
磎,"mountain stream, creek"
刍,"mow, cut grass; hay, fodder"
痒,itch
凌,pure; virtuous; insult; maltreat
皆,"all, every, everybody"
鷺,"heron, egret; Ardea species (various)"
暗,"dark; obscure; in secret, covert"
冠,"cap, crown, headgear"
眩,"to confuse; dizzy, dazed, disoriented"
曳,"trail, tow, drag, pull"
冲,soar; pour boiling water over
飭,order; command; give command
皂,soap; black; menial servant
砲,"gun, cannon"
晉,"advance, increase; promote; hexagram ䷢"
砰,"sound of crashing stones, bang!"
昜,"to open out, to expand; bright, glorious"
具,"tool, implement; draw up, write"
甦,"be reborn; resuscitate, revive"
星,"a star, planet; any point of light; 25th lunar mansion, determinative star α Hydrae (Alphard)"
杲,bright sun; brilliant; high
是,"indeed, yes, right; to be; demonstrative pronoun, this, that"
杢,woodworker
產,"give birth, bring forth, produce"
似,"resemble, similar to; as if, seem"
杖,"cane, walking stick"
斟,to pour wine or tea into a cup; to gauge
曽,already; sign of past
琰,"jewel, gem; glitter of gems"
丈,"unit of length equal 3.3 meters; gentleman, man, husband"
兜,pouch
数,"number; several, count; fate"
男,"male, man; son; baron; surname"
免,spare; excuse from; evade
文,"literature, culture, writing"
券,"certificate, ticket; title deeds"
甫,"begin; man, father; great; a distance of ten li"
杏,apricot; almond
封,"letter, envelope; feudal"
申,"to state to a superior, report; extend; ninth earthly branch"
虜,"to capture, imprison, seize; a prison"
杓,"handle of cup, ladle, spoon; name of a constellation (the handle of the Big Dipper)"
檢,check; examine
略,"approximately, roughly; outline"
